Gene,Importance
LRP4,2.3724245949779642e-4
SCGB1D4,2.3689851786369597e-4
LGR5,2.3503191276551648e-4
KIF19,2.3420268404857446e-4
MTRNR2L1,2.3323768176709337e-4
DMBT1,2.3301728808425005e-4
`IGLV3-1`,2.3296825282470636e-4
STAC2,2.3280550491551933e-4
USH1C,2.323141169028571e-4
DNAI2,2.3174912820518823e-4
NXF3,2.3095797131378993e-4
OVGP1,2.2954274167714007e-4
EPHA7,2.2743519279515745e-4
PKHD1L1,2.2721822350421105e-4
SHISA9,2.2663089601210906e-4
SP8,2.2626391850272398e-4
`IGKV1-16`,2.2562699864127556e-4
CALML5,2.2503122428495548e-4
FGL1,2.2424663743534802e-4
LINC01765,2.2275279915124125e-4
AL365259.1,2.224861288890414e-4
HOXC11,2.2124434303434027e-4
TUNAR,2.212083705795973e-4
`IGKV1-27`,2.1951235951690263e-4
DPP10,2.1912495065165615e-4
LY6G6C,2.1820382607339118e-4
DISP3,2.174075136112885e-4
CLDN10,2.1665087430014274e-4
TEKT4,2.1528883018438448e-4
DNAH12,2.1479545355518258e-4
`CCDC144NL-AS1`,2.141025053945662e-4
PAX2,2.1379091324495047e-4
ZNF385B,2.133447404992781e-4
CEACAM21,2.1309613108037406e-4
EN2,2.1296444822627758e-4
CP,2.10933881001516e-4
PRKCG,2.098626824864056e-4
KCNJ15,2.094436514607787e-4
DNAAF6,2.0892446520766783e-4
PKP1,2.0869540249204445e-4
LINC00648,2.0850145034927593e-4
C6orf15,2.0832753510591483e-4
ANXA8,2.0827972217851064e-4
IGKJ4,2.08042300165588e-4
CLPSL1,2.0520771562751206e-4
HOXB13,2.0504201680672285e-4
ZBED9,2.0441982879866848e-4
MB,2.0307386637583158e-4
IGLJ2,2.0285674551716171e-4
`IGHV1-2`,2.013265853845567e-4
IGF2BP1,2.005376254044493e-4
ZSCAN1,2.0041018916150288e-4
HOXB9,1.9927804697503503e-4
AL596442.3,1.9834857716367904e-4
VWDE,1.9748935989348393e-4
TCN1,1.9665924199257568e-4
MUCL1,1.9594167342220636e-4
COL9A1,1.9361851601468728e-4
NEUROG2,1.920904936564054e-4
NCAM1,1.9111495675928737e-4
CFAP97D2,1.905519242514353e-4
SCEL,1.898464900881782e-4
SLC6A14,1.898419281949919e-4
PCDH10,1.8965588323896965e-4
PTGS2,1.8941684500381828e-4
A2ML1,1.878007189523343e-4
