ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0072178,nephric duct morphogenesis,5/1923,11/18986,0.45454545454545453,4.487779511180447,3.8843800940698143,0.0029020730702231847,0.034722308771589244,0.02868730508414077,BMP4/PAX2/LHX1/EPHA7/HNF1B,5
GO:1904668,positive regulation of ubiquitin protein ligase activity,5/1923,11/18986,0.45454545454545453,4.487779511180447,3.8843800940698143,0.0029020730702231847,0.034722308771589244,0.02868730508414077,UBE2C/CDC20/PLK1/UBE2S/CDC20B,5
GO:2001054,negative regulation of mesenchymal cell apoptotic process,5/1923,11/18986,0.45454545454545453,4.487779511180447,3.8843800940698143,0.0029020730702231847,0.034722308771589244,0.02868730508414077,SHH/BMP7/PAX2/GDF5/HNF1B,5
GO:0010092,specification of animal organ identity,10/1923,37/18986,0.2702702702702703,2.668409439080266,3.4101823305652244,0.002985642707005112,0.03564807837928303,0.029452168830622606,AXIN2/ROBO2/BMP4/PAX2/LRP2/FGF8/GLI3/GDNF/SIX1/DKK1,10
GO:0042692,muscle cell differentiation,62/1923,432/18986,0.14351851851851852,1.416974827141234,2.9430672234628252,0.0030903039851339063,0.03682132388083982,0.030421495261740993,TNNT1/SORBS2/MDM2/UCHL1/ACTL8/RYR1/DOCK5/MAMSTR/CACNA2D2/SPEG/SLC8A1/OBSCN/ADAMTS15/MSX1/XBP1/BARX2/SHH/COMP/BDNF/CDON/RORA/BMP4/PROX1/FHOD3/RBM24/SGCD/KEL/OLFM2/WT1/IGF2/MYOM2/ALPK2/BHLHA15/SYNPO2L/ACTN2/SCGB3A1/MYOM3/CACNA1S/TNFSF14/NPHS1/HEY1/XK/CEACAM5/FLNC/TNNT3/PDGFRA/FZD7/MYOZ1/HEY2/NOS1/SHOX2/TMOD1/CASQ1/MYLK3/MYMX/WNT3A/IGF1/SIX1/MYO18B/TBX18/DKK1/ALPK3,62
GO:0030516,regulation of axon extension,17/1923,82/18986,0.2073170731707317,2.046865289245716,3.1892467347521083,0.0031310793261639953,0.03723008578940866,0.0307592112141861,L1CAM/TRIM46/SEMA6C/MAG/ARHGAP4/RTN4R/NTN1/MT3/APOE/SLIT1/WNT3/MAP1B/NKX6-1/WNT3A/ISLR2/SEMA3A/PLXNA4,17
GO:0032252,secretory granule localization,8/1923,26/18986,0.3076923076923077,3.0378815152606107,3.4907093155034112,0.0032082795538603635,0.03791303661697411,0.031323459947665104,CADPS2/TRIM46/KIF1A/SNAP25/TANC2/KIF5A/BAIAP3/UNC13A,8
GO:0048596,embryonic camera-type eye morphogenesis,8/1923,26/18986,0.3076923076923077,3.0378815152606107,3.4907093155034112,0.0032082795538603635,0.03791303661697411,0.031323459947665104,IHH/ALDH1A3/SOX11/BMP7/PROX1/PAX2/SIX3/TH,8
GO:0072576,liver morphogenesis,8/1923,26/18986,0.3076923076923077,3.0378815152606107,3.4907093155034112,0.0032082795538603635,0.03791303661697411,0.031323459947665104,CEBPB/CEACAM1/FGL1/XBP1/PROX1/GLI1/WNT3A/HPN,8
GO:0001649,osteoblast differentiation,41/1923,262/18986,0.15648854961832062,1.545029434765177,2.9822121430234367,0.00324531658936065,0.03827212494215274,0.03162013596665672,TRPM4/PTCH1/CEBPB/MAP2K6/IHH/CEBPA/CREB3L1/AXIN2/SOX11/LEF1/SHH/DLX5/ID3/BMP7/BAMBI/ACHE/BMP4/SATB2/BMPR1B/DNAI3/ERFE/GLI1/SP7/NOG/IGF2/MSX2/WNT3/RUNX2/HOXA2/IGFBP2/GLI3/GJA1/TP63/TNFAIP6/CYP24A1/LTF/SHOX2/SMOC1/WNT3A/IGF1/SFRP2,41
GO:0098773,skin epidermis development,24/1923,132/18986,0.18181818181818182,1.795111804472179,3.0773767114881405,0.0033002506091706226,0.03884037271120027,0.0320896179133004,FOXI3/HPSE/APCDD1/SFN/SHH/WNT10A/TNFRSF19/ALOXE3/FA2H/EDAR/MSX2/FOXN1/GAL/DKK4/PLA2G10/SPINK5/ZNF750/CLDN1/TP63/ALOX12B/FST/FLG/DKK1/LRP4,24
GO:0001508,action potential,30/1923,177/18986,0.1694915254237288,1.673409309253726,3.0216916413930273,0.003374226565068066,0.03962994669789126,0.03274195788273352,RANGRF/TRPM4/PTPN3/SCN8A/CLDN19/CLCN2/SCN4A/FGF12/KCNH2/SLC8A1/GNA14/KCNS1/KCNE4/SCN2B/KCNE1/KCNK2/NDP/HCN1/KCND3/CNR1/SLC4A3/KCNG1/GJA1/SCN1A/SLC8A2/KCNG3/SCN2A/NOS1/KCNH6/TBX18,30
GO:0001889,liver development,26/1923,147/18986,0.17687074829931973,1.74626522475865,3.0492300858169252,0.003387460531136571,0.03970434899529728,0.03280342848996439,AURKA/PTPN3/PTCH1/ADA/CEBPB/IHH/CEACAM1/DNAAF1/CEBPA/FGL1/CPS1/PCK1/XBP1/CCDC40/ASS1/E2F8/PROX1/HNF1A/GLI1/ITGA2/COBL/PCSK9/CLDN1/WNT3A/HPN/HNF1B,26
GO:0050769,positive regulation of neurogenesis,39/1923,247/18986,0.15789473684210525,1.5589128828311027,2.9681554247118624,0.003437592102261383,0.04021004583031354,0.03322123133486236,L1CAM/PLAG1/CLCN2/EPHB2/PRKCI/WDR62/ASPM/NEURL1/TTBK1/SOX11/ROBO2/MAG/LRP8/SHH/TP73/BDNF/NTN1/CDON/MYB/IL33/GFAP/LRP2/WNT3/ZNF488/CX3CR1/GLI3/CHODL/MME/MAP1B/EFNA5/CRABP2/RASSF10/RND2/SHOX2/NKX6-1/WNT3A/ISLR2/FOXG1/PLXNA4,39
GO:0048670,regulation of collateral sprouting,7/1923,21/18986,0.3333333333333333,3.2910383081989942,3.5264101459203068,0.003498425359894289,0.04030082553816155,0.033296232832937166,BDNF/WNT3/EFNA5/CRABP2/RND2/EPHA7/WNT3A,7
GO:0051383,kinetochore organization,7/1923,21/18986,0.3333333333333333,3.2910383081989942,3.5264101459203068,0.003498425359894289,0.04030082553816155,0.033296232832937166,CENPA/NDC80/DLGAP5/NUF2/CENPE/CENPF/SMC4,7
GO:0090189,regulation of branching involved in ureteric bud morphogenesis,7/1923,21/18986,0.3333333333333333,3.2910383081989942,3.5264101459203068,0.003498425359894289,0.04030082553816155,0.033296232832937166,BMP4/NOG/GDNF/LHX1/SIX2/SIX1/AGTR2,7
GO:1901970,positive regulation of mitotic sister chromatid separation,7/1923,21/18986,0.3333333333333333,3.2910383081989942,3.5264101459203068,0.003498425359894289,0.04030082553816155,0.033296232832937166,ESPL1/UBE2C/BIRC5/CDCA8/CDC20/SKA1/DLGAP5,7
GO:0043584,nose development,6/1923,16/18986,0.375,3.702418096723869,3.6303300775808887,0.003501374938154783,0.04030082553816155,0.033296232832937166,ALDH1A3/MSX1/DLX5/PROX1/GLI3/SIX1,6
GO:0090660,cerebrospinal fluid circulation,6/1923,16/18986,0.375,3.702418096723869,3.6303300775808887,0.003501374938154783,0.04030082553816155,0.033296232832937166,DNAH9/JHY/CFAP43/CWH43/CFAP221/CFAP45,6
GO:1900006,positive regulation of dendrite development,6/1923,16/18986,0.375,3.702418096723869,3.6303300775808887,0.003501374938154783,0.04030082553816155,0.033296232832937166,VLDLR/ALK/LRP8/BMP7/COBL/BMP5,6
GO:1903909,regulation of receptor clustering,6/1923,16/18986,0.375,3.702418096723869,3.6303300775808887,0.003501374938154783,0.04030082553816155,0.033296232832937166,SHISA6/ZDHHC2/SLC7A11/TNFAIP6/FRRS1L/LRP4,6
GO:0021515,cell differentiation in spinal cord,12/1923,50/18986,0.24,2.3695475819032756,3.255256783844418,0.0035308379955993367,0.04031740608070274,0.03330993154996283,PTCH1/TCTN1/SHH/DMRT3/MNX1/MDGA1/GLI3/LHX1/GDF7/WNT3A/HOXC10/FOXN4,12
GO:0022602,ovulation cycle process,12/1923,50/18986,0.24,2.3695475819032756,3.255256783844418,0.0035308379955993367,0.04031740608070274,0.03330993154996283,PGR/ESR1/MAP2K6/PTX3/ROBO2/BMPR1B/MMP2/GAS2/TNFAIP6/PDGFRA/KISS1/AMH,12
GO:0090102,cochlea development,12/1923,50/18986,0.24,2.3695475819032756,3.255256783844418,0.0035308379955993367,0.04031740608070274,0.03330993154996283,CCNA2/SLITRK6/PAX2/KCNK2/MCM2/HOXA1/EYA1/HEY2/KCNK3/HPN/SIX1/TBX18,12
GO:0098815,modulation of excitatory postsynaptic potential,12/1923,50/18986,0.24,2.3695475819032756,3.255256783844418,0.0035308379955993367,0.04031740608070274,0.03330993154996283,GRIN2C/GRIN1/WNT7A/STX1B/GRIN2B/NLGN1/TMEM108/SLC8A2/ADRB2/CELF4/RIMS2/SHANK1,12
